Year ,School ,Speaker ,Event Type ,Controversy Topic ,Disinvitation? ,From Right or Left of Speaker ,Details
2011,Point Loma Nazarene University ,Vincente Fox ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2011,"University of California, Santa Barbara ",David Horowitz ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2011,San Diego City College ,Bonnie Dumanis ,Campus Speech/Debate ,Local Politics ,Yes ,From the Left ,view 
2010,Ohio Wesleyan University ,John McCain ,Commencement ,Views on Immigration ,No ,From the Left ,view 
2010,Saint Louis University ,Pietro Sambi ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2010,"Indiana University, Bloomington ",Tom Woods ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2010,Butler University ,John Roberts ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2010,University of Minnesota ,  ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2010,Seton Hall University School of Law ,Chris Christie ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2010,Brandeis University ,Michael Oren ,Commencement ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2010,"California State University, Stanislaus ",Sarah Palin ,Campus Speech/Debate ,"Other Political Views or Positions, Other ",No ,From the Left ,view 
2010,Temple University ,Geert Wilders ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2010,The George Washington University ,Michelle Obama ,Commencement ,Other ,No ,From the Right ,view 
2010,University of Wyoming ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2010,University of Arizona ,Sandra Soto ,Commencement ,Views on Immigration ,No ,From the Right ,view 
2010,Syracuse University ,Jamie Dimon ,Commencement ,Other ,No ,From the Left ,view 
2010,SUNY Oswego ,John McHugh ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2010,"University of California, Irvine ",Michael Oren ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2010,Columbia University School of International and Public Affairs ,Vikram Pandit ,Commencement ,Other ,No ,From the Left ,view 
2009,Georgia Southern University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",Yes ,From the Right ,view 
2009,Princeton University ,Nonie Darwish ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2009,Brandeis University ,William Ayers ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2009,DePaul University ,Natan Sharansky ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2009,Xavier University of Louisiana ,Donna Brazile ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,University of California - Los Angeles Anderson School of Management ,Meg Whitman ,Commencement ,Views on Sexual Orientation ,Yes ,From the Left ,view 
2009,University of North Carolina School of Law ,Michael Mukasey ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2009,California Polytechnic State University ,Michael Pollan ,Campus Speech/Debate ,Other Political Views or Positions ,No ,N/A ,view 
2009,Saint Louis University ,Jacob Shrybman ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of Vermont ,Ben Stein ,Commencement ,Evolution/Scientific Views ,Yes ,From the Left ,view 
2009,University of Notre Dame ,Barack Obama ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,DePaul University ,Jacob Shrybman ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of North Carolina at Chapel Hill ,Tom Tancredo ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2009,Boston College ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2009,Arizona State University ,Barack Obama ,Commencement ,"Other Political Views or Positions, Other ",No ,From the Right ,view 
2009,University of Massachusetts ,Raymond Luc Levasseur ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2009,University of Chicago ,Ehud Olmert ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Left ,view 
2009,University of California - Los Angeles ,James Franco ,Commencement ,Other ,Yes ,N/A ,view 
2009,University of Massachusetts Amherst ,Don Feder ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2009,Millersville University ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,No ,From the Right ,view 
2009,University of Oklahoma ,Richard Dawkins ,Campus Speech/Debate ,Evolution/Scientific Views ,No ,From the Right ,view 
2009,McHenry County College ,Marc Falkoff ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties, Other ",Yes ,From the Right ,view 
2009,Harvard University ,Jim Gilchrist ,Campus Speech/Debate ,Views on Immigration ,Yes ,From the Left ,view 
2009,Clark University ,Norman Finkelstein ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2009,Saint Mary's College ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,No ,From the Right ,view 
2009,King's College ,Bob Casey ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2009,University of North Carolina at Chapel Hill ,Virgil Goode ,Campus Speech/Debate ,"Racial Issues, Views on Immigration ",No ,From the Left ,view 
2009,University of Kentucky ,Ehud Olmert ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2008,Smith College ,Ryan Sorba ,Campus Speech/Debate ,"Views on Sexual Orientation, Other Political Views or Positions ",Yes ,From the Left ,view 
2008,Boston College ,Michael Mukasey ,Commencement ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2008,Furman University ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2008,Northwestern University ,Jeremiah Wright ,Commencement ,"Racial Issues, Other Political Views or Positions ",Yes ,From the Right ,view 
2008,"California State University, Northridge ",Norman Finkelstein ,Campus Speech/Debate ,"Racial Issues, Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",No ,From the Right ,view 
2008,Washington University in St. Louis ,Phyllis Schlafly ,Commencement ,"Views on Abortion/Contraception, Views on Gender, Other Political Views or Positions ",No ,From the Left ,view 
2008,College of St. Catherine ,Bay Buchanan ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2008,Aquinas College ,John Corvino ,Campus Speech/Debate ,"Views on Sexual Orientation, Other Political Views or Positions ",Yes ,From the Right ,view 
2008,College of St. Catherine ,Al Franken ,Campus Speech/Debate ,Other ,Yes ,N/A ,view 
2008,University of Georgia ,Clarence Thomas ,Commencement ,Criminal/Other Misconduct ,No ,N/A ,view 
2008,George Washington University ,Julian Bond ,Commencement ,Other Political Views or Positions ,No ,From the Right ,view 
2008,College of St. Catherine ,Hillary Clinton ,Campus Speech/Debate ,Other ,Yes ,N/A ,view 
2008,Northwestern University School of Law ,Jerry Springer ,Commencement ,"Criminal/Other Misconduct, Other ",No ,From the Right ,view 
2008,University of Nebraska ,William Ayers ,Campus Speech/Debate ,Criminal/Other Misconduct ,Yes ,From the Right ,view 
2007,Brigham Young University ,Dick Cheney ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2007,University of Southern Indiana ,Gary Yourofsky ,Campus Speech/Debate ,"Criminal/Other Misconduct, Other ",Yes ,From the Right ,view 
2007,University of California ,Lawrence Summers ,Campus Speech/Debate ,Views on Gender ,Yes ,From the Left ,view 
2007,College of St. Mary ,Roberta Wilhelm ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2007,Saint Mary's College ,Samuel Alito ,Commencement ,Views on Gender ,No ,From the Left ,view 
2007,"University of California, Berkeley ",Nonie Darwish ,Campus Speech/Debate ,"Views on Islam, Other Political Views or Positions ",No ,From the Left ,view 
2007,"University of California, Irvine ",Daniel Pipes ,Campus Speech/Debate ,"Views on Islam, Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",No ,From the Left ,view 
2007,Emory University ,David Horowitz ,Campus Speech/Debate ,"Views on Sexual Orientation, Racial Issues, Other Political Views or Positions ",Yes ,From the Left ,view 
2007,Columbia University ,Jim Gilchrist ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2007,Harvard University ,Robert Trivers ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2007,Regent University ,Mitt Romney ,Commencement ,Speaker's Religion ,No ,N/A ,view 
2007,University of St. Thomas ,Archbishop Desmond Tutu ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2007,Tufts University ,Daniel Pipes ,Campus Speech/Debate ,"Views on Islam, Other Political Views or Positions ",No ,From the Left ,view 
2007,DePaul University ,Norman Finkelstein ,Other ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2007,St. Vincent College ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2007,Rockefeller University ,James Watson ,Campus Speech/Debate ,Racial Issues ,Yes ,From the Left ,view 
2006,Brandeis University ,Tony Kushner ,Commencement ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2006,Catholic University of America ,Bob Casey ,Campus Speech/Debate ,"Views on Abortion/Contraception, Views on Sexual Orientation ",No ,From the Right ,view 
2006,"University of California, Los Angeles ",Yaron Brook ,Campus Speech/Debate ,"Views on Islam, Other Political Views or Positions ",No ,From the Left ,view 
2006,Georgetown University ,Chris Simcox ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2006,Boston College ,Condoleezza Rice ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2006,University of Michigan ,Brigitte Gabriel ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2006,Columbia University ,Mahmoud Ahmadinejad ,Campus Speech/Debate ,"Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",Yes ,From the Right ,view 
2006,University of South Carolina ,Andrew Bernstein ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2006,Nova Southeastern University ,Salman Rushdie ,Commencement ,Views on Islam ,No ,From the Left ,view 
2006,Oklahoma State University ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2006,Columbia University ,John McCain ,Commencement ,"Views on Sexual Orientation, Other Political Views or Positions ",No ,From the Left ,view 
2006,Portland State University ,Peter DeFazio ,Commencement ,"Other Political Views or Positions, Views on Immigration ",No ,From the Left ,view 
2006,University of Texas at Austin ,William Kristol ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2006,Brown University ,Nonie Darwish ,Campus Speech/Debate ,Views on Islam ,Yes ,From the Left ,view 
2006,New School ,John McCain ,Commencement ,"Views on Sexual Orientation, Other Political Views or Positions ",No ,From the Left ,view 
2006,Ball State University ,David Horowitz ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2006,Michigan State University ,Tom Tancredo ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2006,University of Memphis ,Brigitte Gabriel ,Campus Speech/Debate ,Views on Islam ,No ,From the Left ,view 
2006,Columbia University ,Jim Gilchrist ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2006,"University of California, Irvine ",Yaron Brook ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2005,Santa Monica College ,Arnold Schwarzenegger ,Commencement ,"Other Political Views or Positions, Local Politics ",No ,From the Left ,view 
2005,Bowling Green State University ,David Horowitz ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2005,Calvin College ,George W. Bush ,Commencement ,"Other Political Views or Positions, Civil Liberties ",No ,From the Left ,view 
2005,Western Michigan University ,Pat Buchanan ,Campus Speech/Debate ,"Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2005,Georgetown University ,Norman Finkelstein ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2005,University of Oregon ,Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,Hamilton College ,Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,St. Elizabeth College of Nursing ,Sherwood Boehert ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2005,"University of Hawaii, Manoa ",Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Right ,view 
2005,Wheaton College ,Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,Antioch College ,Ward Churchill ,Commencement ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,"University of Wisconsin, Whitewater ",Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Right ,view 
2005,Butler University ,David Horowitz ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2005,Arkansas State University ,David Corn ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,Harvard University ,Norman Finkelstein ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,Yes ,From the Right ,view 
2005,Middlebury College ,Rudy Giuliani ,Commencement ,"Other Political Views or Positions, Civil Liberties, Local Politics ",No ,From the Left ,view 
2005,Harvard University ,Norman Finkelstein ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Right ,view 
2005,Harding University ,Ann Coulter ,Campus Speech/Debate ,"Other Political Views or Positions, Civil Liberties ",Yes ,From the Left ,view 
2005,"California State University, East Bay ",Richard Rodriguez ,Commencement ,"Racial Issues, Other Political Views or Positions, Views on Immigration ",Yes ,From the Left ,view 
2005,Rice University ,Michelle Hebl ,Commencement ,Other ,No ,N/A ,view 
2005,Eastern Washington University ,Ward Churchill ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2005,New York University ,Shirley Tilghman ,Commencement ,Other ,No ,N/A ,view 
2005,Earlham College ,William Kristol ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2004,Villanova University ,Caroll Spinney ,Commencement ,Other ,No ,N/A ,view 
2004,University of Saint Francis ,Nancy Snyderman ,Commencement ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2004,American University ,Michelle Malkin ,Campus Speech/Debate ,"Racial Issues, Other Political Views or Positions ",Yes ,From the Left ,view 
2004,University of Arizona ,Ann Coulter ,Campus Speech/Debate ,"Views on Islam, Other Political Views or Positions ",No ,From the Left ,view 
2004,"California State University, San Marcos ",Michael Moore ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,N/A ,view 
2004,George Mason University ,Michael Moore ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Right ,view 
2004,Catholic University ,Eleanor Holmes Norton ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2004,Mount Saint Mary's College ,Alberto Gonzales ,Commencement ,Civil Liberties ,Yes ,From the Left ,view 
2004,Catholic University ,Stanley Tucci ,Campus Speech/Debate ,Views on Abortion/Contraception ,Yes ,From the Right ,view 
2004,Hamilton College ,Susan Rosenberg ,Teaching ,"Other Political Views or Positions, Civil Liberties, Criminal/Other Misconduct ",Yes ,From the Right ,view 
2004,University of Arizona ,George W. Bush ,Commencement ,Other Political Views or Positions ,Yes ,From the Right ,view 
2004,"University of California, Berkeley ",Daniel Pipes ,Campus Speech/Debate ,"Views on Islam, Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",No ,From the Left ,view 
2003,Schenectady County Community College ,Scott Ritter ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",Yes ,From the Right ,view 
2003,Princeton University ,Fred Hargadon ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2003,Guilford College ,Howard Coble ,Commencement ,Civil Liberties ,Yes ,From the Left ,view 
2003,College of the Holy Cross ,Chris Matthews ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2003,Saint Louis University ,Donald J. Carty ,Commencement ,"Criminal/Other Misconduct, Other ",Yes ,N/A ,view 
2003,"Washington College (Chestertown, MD) ",Scott Ritter ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2003,Rutgers University ,Natan Sharansky ,Campus Speech/Debate ,Views on Israeli-Palestinian Conflict ,No ,From the Left ,view 
2003,St. Joseph's University ,Rick Santorum ,Commencement ,Views on Sexual Orientation ,No ,From the Left ,view 
2003,"University of California, Berkeley ",Ward Connerly ,Campus Speech/Debate ,Racial Issues ,No ,From the Left ,view 
2003,Rockford College ,Chris Hedges ,Commencement ,Other Political Views or Positions ,Yes ,From the Right ,view 
2003,Michigan State University ,Dan Flynn ,Campus Speech/Debate ,Other Political Views or Positions ,Yes ,From the Left ,view 
2002,Middlebury College ,Ari Fleischer ,Campus Speech/Debate ,Other Political Views or Positions ,No ,From the Left ,view 
2002,"University of California, Berkeley ",Jonny Moseley ,Commencement ,Other ,No ,From the Right ,view 
2002,Ohio State University ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2002,James Madison University ,Doris Kearns Goodwin ,Commencement ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2002,Syracuse University ,Rudolph Giuliani ,Commencement ,Racial Issues ,No ,From the Left ,view 
2002,Harvard University ,Tom Paulin ,Campus Speech/Debate ,"Views on Israeli-Palestinian Conflict, Other Political Views or Positions ",Yes ,From the Right ,view 
2002,"University of California, Los Angeles ",Laura Bush ,Commencement ,"Other Political Views or Positions, Other ",Yes ,From the Left ,view 
2002,"California State University, Sacramento ",Janis Besler Heaphy ,Commencement ,"Other Political Views or Positions, Civil Liberties ",Yes ,From the Right ,view 
2002,University of Delaware ,Doris Kearns Goodwin ,Commencement ,Criminal/Other Misconduct ,Yes ,N/A ,view 
2002,College of the Holy Cross ,Frances Kissling ,Campus Speech/Debate ,"Views on Abortion/Contraception, Views on Gender ",Yes ,From the Right ,view 
2002,Stanford Law School ,Lynne Stewart ,Teaching ,"Other Political Views or Positions, Other ",Yes ,From the Right ,view 
2002,Harvard University ,Zayed Yasin ,Commencement ,"Views on Islam, Views on Israeli-Palestinian Conflict ",No ,From the Right ,view 
2002,Stanford University ,Condoleezza Rice ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2001,Cornell University ,Ann Coulter ,Commencement ,"Racial Issues, Other Political Views or Positions ",No ,From the Left ,view 
2001,Seton Hall University ,Dolores Cross ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2001,Yale University ,George W. Bush ,Commencement ,Other Political Views or Positions ,No ,From the Left ,view 
2001,Stanford University ,Carly Fiorina ,Commencement ,"Other Political Views or Positions, Other ",No ,From the Right ,view 
2000,Old Dominion University ,Fred Rogers ,Commencement ,Other ,No ,N/A ,view 
2000,Marist College ,Bob Kerrey ,Commencement ,Views on Abortion/Contraception ,No ,From the Right ,view 
2000,"University of California, Berkeley ",Madeline Albright ,Commencement ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Left ,view 
2000,George Washington University ,Madeline Albright ,Commencement ,"Other Political Views or Positions, Criminal/Other Misconduct ",No ,From the Right ,view 
2000,Antioch College ,Mumia Abu-Jamal ,Commencement ,Criminal/Other Misconduct ,No ,From the Right ,view 
2000,"University of Texas, Austin ",Henry Kissinger ,Campus Speech/Debate ,"Other Political Views or Positions, Criminal/Other Misconduct, Other ",Yes ,From the Left ,view 
